Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2023-01-01T00:00:00+01:00;PT15M;Onshore;Flanders;Dso;1010.36;974.2;883.5;982.0;958.8;818.6;979.3;960.5;823.5;988.0;1000.4;939.1;1031.2;1353.86;0.75;''
2023-01-01T00:15:00+01:00;PT15M;Onshore;Flanders;Dso;1011.04;972.2;856.0;980.7;956.9;819.7;980.4;958.6;820.8;989.8;998.5;941.9;1025.9;1353.86;0.75;''
2023-01-01T00:30:00+01:00;PT15M;Onshore;Flanders;Dso;1012.82;971.2;841.3;981.4;955.0;819.4;981.7;956.7;819.2;991.0;996.4;942.0;1020.6;1353.86;0.75;''
2023-01-01T00:45:00+01:00;PT15M;Onshore;Flanders;Dso;1004.68;970.8;828.2;981.1;953.9;819.8;982.5;955.8;816.0;992.1;992.6;942.2;1015.9;1353.86;0.74;''
2023-01-01T01:00:00+01:00;PT15M;Onshore;Flanders;Dso;944.81;1002.7;908.3;1011.0;952.7;823.8;983.1;954.8;813.0;990.4;982.1;934.8;1005.8;1353.86;0.7;''
2023-01-01T01:15:00+01:00;PT15M;Onshore;Flanders;Dso;969.48;1001.9;876.8;1010.4;951.9;829.2;983.1;954.5;808.7;986.5;978.2;930.0;1002.2;1353.86;0.72;''
2023-01-01T01:30:00+01:00;PT15M;Onshore;Flanders;Dso;1005.26;995.6;858.4;1005.5;951.2;836.1;983.0;953.0;803.5;982.3;975.9;924.5;999.5;1353.86;0.74;''
2023-01-01T01:45:00+01:00;PT15M;Onshore;Flanders;Dso;1001.8;986.8;840.5;997.0;950.4;842.8;984.1;952.2;801.4;980.2;977.2;923.4;1001.6;1353.86;0.74;''
2023-01-01T02:00:00+01:00;PT15M;Onshore;Flanders;Dso;967.12;972.4;889.8;983.1;950.7;848.3;988.3;952.6;802.1;981.2;980.8;926.1;1006.3;1353.86;0.71;''
2023-01-01T02:15:00+01:00;PT15M;Onshore;Flanders;Dso;990.49;963.3;852.4;975.8;949.5;850.5;989.4;951.1;804.5;981.9;980.9;926.2;1006.9;1353.86;0.73;''
2023-01-01T02:30:00+01:00;PT15M;Onshore;Flanders;Dso;994.41;960.3;838.7;974.3;946.1;848.9;989.0;946.7;804.1;979.9;977.0;924.3;1004.3;1353.86;0.73;''
2023-01-01T02:45:00+01:00;PT15M;Onshore;Flanders;Dso;992.36;955.6;821.8;970.0;941.3;846.7;987.6;942.1;800.2;977.7;975.5;922.0;1002.3;1353.86;0.73;''
2023-01-01T03:00:00+01:00;PT15M;Onshore;Flanders;Dso;990.79;958.8;874.9;972.4;938.5;843.8;987.4;939.9;794.7;976.8;970.9;917.4;997.5;1353.86;0.73;''
2023-01-01T03:15:00+01:00;PT15M;Onshore;Flanders;Dso;989.94;954.6;838.9;970.4;930.9;839.0;981.1;931.4;786.4;970.3;965.5;912.2;992.5;1353.86;0.73;''
2023-01-01T03:30:00+01:00;PT15M;Onshore;Flanders;Dso;974.93;946.7;817.1;965.9;923.4;832.1;975.2;923.4;774.1;964.7;961.0;907.3;988.3;1353.86;0.72;''
2023-01-01T03:45:00+01:00;PT15M;Onshore;Flanders;Dso;925.07;937.7;795.6;957.8;911.0;820.0;965.0;908.8;758.4;953.3;953.8;898.3;981.5;1353.86;0.68;''
2023-01-01T04:00:00+01:00;PT15M;Onshore;Flanders;Dso;932.44;935.2;850.6;951.9;894.0;801.1;949.4;890.1;734.3;936.6;943.4;889.6;972.5;1353.86;0.69;''
2023-01-01T04:15:00+01:00;PT15M;Onshore;Flanders;Dso;929.91;923.8;809.2;944.3;880.3;787.0;937.1;876.7;713.6;928.0;934.9;881.3;967.1;1353.86;0.69;''
2023-01-01T04:30:00+01:00;PT15M;Onshore;Flanders;Dso;959.34;912.7;782.1;938.2;870.8;774.8;928.4;865.9;696.2;921.8;927.7;876.4;963.0;1353.86;0.71;''
2023-01-01T04:45:00+01:00;PT15M;Onshore;Flanders;Dso;967.47;896.6;753.8;925.0;858.7;760.5;918.5;850.7;682.6;909.5;919.1;872.2;959.9;1353.86;0.71;''
2023-01-01T05:00:00+01:00;PT15M;Onshore;Flanders;Dso;949.36;881.4;795.6;905.4;848.4;746.9;908.1;839.8;672.9;901.0;909.3;864.0;952.4;1353.86;0.7;''
2023-01-01T05:15:00+01:00;PT15M;Onshore;Flanders;Dso;935.96;867.5;753.2;896.2;838.5;731.9;898.5;830.2;668.3;890.5;900.5;855.8;944.1;1353.86;0.69;''
2023-01-01T05:30:00+01:00;PT15M;Onshore;Flanders;Dso;882.25;851.4;731.2;887.2;831.6;716.4;888.6;818.3;664.1;879.2;888.7;846.5;934.6;1353.86;0.65;''
2023-01-01T05:45:00+01:00;PT15M;Onshore;Flanders;Dso;877.1;834.9;704.9;875.0;823.5;705.4;880.5;810.3;660.4;867.9;879.3;838.6;924.9;1353.86;0.65;''
2023-01-01T06:00:00+01:00;PT15M;Onshore;Flanders;Dso;938.68;817.0;738.1;841.1;820.1;697.8;878.0;803.9;660.0;857.9;866.2;824.3;912.0;1353.86;0.69;''
2023-01-01T06:15:00+01:00;PT15M;Onshore;Flanders;Dso;936.9;803.3;699.3;832.2;813.8;686.4;871.5;797.3;659.6;842.7;855.9;812.8;899.6;1353.86;0.69;''
